0,,"内容は廃墟などに棲みついた魔物退治が
一般的だが――","The requests usually involve exterminating monsters
that have taken up residence in ruins.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,2,Joseph
0,,"しかし、嘆願書は次から次へと舞い込んでくる
気が向いたら、また頼むよ","Still, petitions keep pouring in one after another.
If you're willing, I'll be counting on you again.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,13,Joseph
0,,"ほう！　――思ったより早かったな
まだおまえさんには早かったかと思っていたんだ
どうやら見くびっていたようだ","Oh! That was faster than I expected.
I thought it might still be too soon for you.
It seems I underestimated you.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,14,Joseph
0,,"さて、嘆願書は幾らでもあるぞ
気が向いたら、また力を貸してくれ","Now then, there's no shortage of petitions.
If you feel inclined, lend us your strength again.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,15,Joseph
0,,"なんと！　あの魔物を倒したのか！
これは快挙だぞ――素晴らしいことだ
おまえの資質は
レオが見込んだ以上のものかもしれないな","What!? You defeated that monster!?
That's a remarkable achievement— truly splendid.
Your potential may exceed
even what Leo saw in you.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,16,Joseph
0,,"嘆願書はレスタニア全土の民の叫びだ
これからも時間を作って
聞き入れてやってほしい
頼んだぞ","These petitions are the cries of the people
from all across Lestania.
I hope you'll continue to make time
to hear them out. I'm counting on you.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,17,Joseph
0,,"おや――ここで何をしている？
嘆願を聞き入れたからには
ゆっくりしているひまはないぞ？","Oh— what are you doing here?
Once you've accepted a petition,
there's no time to slack, you know?",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,18,Joseph
0,,"この辺りで妙な魔物が出るようになったって
聞いて、退治依頼を受けたんだけどさ
何よこれ――","I heard that some strange monster started appearing around here,
so I took on an extermination request, but…
What is this—",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,0,Freya
0,,"これはなんだろう――建物？
明らかに、ここがねぐらよね
見たところあんたも同業でしょ？","What could this be— a building?
This must be its lair.
You seem to be in the same line of work as me, right?",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,1,Freya
0,,"あ！　だったらさ、この依頼書の魔物を
見つけたら代わりにやっつけてくれないかな
ここに入るの、な～んか気が進まないのよね","Ah! In that case, if you find the monster listed in this request,
could you take it out for me instead?
I just don't feel like going in there.",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,2,Freya
0,,ね？　報酬の６割あんたにゆずるからさ！,"ね？　報酬の６割あんたにゆずるからさ！
See? I'll give you 60% of the reward!",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,3,Freya
0,,"この辺りで妙な魔物が出るようになったって
聞いて、退治依頼を受けたんだけどさ
何よこれ――","I heard that some strange monster started appearing around here,
so I took on an extermination request, but...
What is this—",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,4,Freya
0,,"これはなんだろう――建物？
明らかに、ここがねぐらよね
見たところあんたも同業でしょ？","What could this be— a building?
This must be its lair.
You seem to be in the same line of work as me, right?",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,5,Freya
0,,"あ！　だったらさ、この依頼書の魔物を
見つけたら代わりにやっつけてくれないかな
――ここに入るの、すごく気が進まないのよね","Ah! In that case, if you find the monster listed in this request,
could you take it out for me instead?
I really, really don't feel like going in there.",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,6,Freya
0,,"頼むわよ、報酬の８割あんたにあげるからさ
きっと厄介な魔物だろうから、気をつけてよね","I'm begging you— I'll give you 80% of the reward.
It's probably a troublesome monster, so be careful, okay?",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,7,Freya
0,,"この辺りで妙な魔物が出るようになったって
聞いて、退治依頼を受けたんだけどさ
何よこれ――","I heard that some strange monster started appearing around here,
so I took on an extermination request, but...
What is this—",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,8,Freya
0,,"これはなんだろう――建物？
明らかに、ここがねぐらよね
見たところあんたも同業でしょ？","What could this be— a building?
This must be its lair.
You seem to be in the same line of work as me, right?",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,9,Freya
0,,"あ！　だったらさ、この依頼書の魔物を
見つけたら代わりにやっつけてくれないかな
――実は、嫌な予感がして入れなかったのよね","Ah! In that case, if you find the monster listed in this request,
could you take it out for me instead?
To be honest, I had a bad feeling and couldn't bring myself to go in.",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,10,Freya
0,,"報酬はぜんぶあんたにあげる
あたしはここで待ってるから、無理しないで
危ないと思ったら出てくるのよ","I'll give you the entire reward.
I'll wait here, so don't push yourself.
If you think it's dangerous, come back out.",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,11,Freya
0,,中で死なれたら、さすがに寝ざめが悪いもの――,"If you died in there, I really wouldn't sleep well—",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,12,Freya
0,,"へえ――さすがね、やるじゃない！
代わりに倒してもらって悪いわね","Wow—just as I expected, you really did it!
Sorry for making you take it down in my place.",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,13,Freya
0,,"はい、約束の報酬６割分よ
また会ったらよろしくね","Here, the promised 60% of the reward.
Let's work together again next time we meet.",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,14,Freya
0,,ああ、お帰り！　どうだった？,"Ah, welcome back! How did it go?",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,15,Freya
0,,"へえ、倒してくれたんだ、さすがね！
頼まれてくれてありがとう","Wow, you really defeated it—impressive!
Thanks for taking the request.",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,16,Freya
0,,"はい、約束の報酬８割分よ
本当助かったわ、また会ったらよろしくね！","Here, the promised 80% of the reward.
You really saved me— let's work together again next time we meet!",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,17,Freya
0,,――ああ、お帰り！　良かったわ無事で,"—Ah, welcome back! I'm so glad you made it back safely.",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,18,Freya
0,,"苦労したって顔してるね
でも、その感じだと魔物を仕留めることが
できたのね――！！","You look like you had a rough time.
But from that look,
you managed to finish off the monster—!!",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,19,Freya
0,,"無茶な頼みを聞いてもらって感謝してるわ
はい、これはあたしが受け取るはずだった報酬よ
またどこかで会ったらよろしくね","Thanks for agreeing to such a reckless request.
Here— the reward I was supposed to receive.
Let's work together again somewhere.",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,20,Freya
0,,中はどう？　あの魔物はいた？,How was it inside? Was the monster there?,ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,21,Freya
0,,"あぶないと思ったら逃げてよね
頼んだ手前、あんたに死なれたら寝ざめが悪いから","If you think it's dangerous, run, okay?
After asking you to do this, I wouldn't sleep well if you died.",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,22,Freya
0,,"騎士でも覚者でも、他にも誰か
通りかからないかなぁ","A knight, an Arisen, anyone else—
I wonder if someone else might pass by...",ui\00_message\quest\q20000005.gmd,\quest\q20000005.arc,q20000005.arc,23,Freya
0,,"おや？　冒険慣れしてそうな君――
頼みがあるんだが聞いてくれないかな","Oh? You look like a seasoned adventurer—
would you hear me out on a request?",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,0,Christoph
0,,"私はレスタニア各地の異変について研究して
いるんだが、現在ハイデル南部は異様に
瘴気が溜まった状態になっていてね――","I study unusual phenomena across Lestania,
and right now, southern Hidell has an abnormal
concentration of miasma there—",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,1,Christoph
0,,"調べてみると、以前テル村を呪って失踪した
男がいたらしい
その恨みが何らかの形で影響しているとも
考えられる","Upon investigating, it seems a man had once laid
a curse on Tel Village and then disappeared.
It's possible his grudge is influencing things somehow.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,2,Christoph
0,,"強く影響が出ているとすれば、男が最後に消えた
旧墓地が怪しいと踏んだが、どうもここでは
ないらしい
となるとハイデル教会の地下霊廟――","If the influence is strong, I suspected the old graveyard
where the man vanished would be the source,
but it doesn't seem to be here.
Which leaves the underground catacombs of the Hidell church—",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,3,Christoph
0,,"だが、あそこは少々私の手に余る
そこで君に調査を頼みたいんだ
瘴気による異変が起こっていないか","However, that place is a bit beyond my capabilities.
So I'd like to ask you to investigate it.
See whether any anomalies caused by the miasma have occurred.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,4,Christoph
0,,"簡単な事じゃないかもしれないが
よろしく頼んだよ","It may not be an easy task,
but I'm counting on you.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,5,Christoph
0,,"おや？　かなり腕が立ちそうな君――
頼みがあるんだが聞いてくれないかな","Oh? You look quite capable—
would you hear me out on a request?",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,6,Christoph
0,,"私はレスタニア各地の異変について研究して
いるんだが、現在ハイデル南部は異様に
瘴気が溜まった状態になっていてね――","I study unusual phenomena across Lestania,
and right now, southern Hidell has an abnormal
concentration of miasma there—",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,7,Christoph
0,,"調べてみると、以前テル村を呪って失踪した
男がいたらしい
その恨みが何らかの形で影響しているとも
考えられる","Upon investigating, it seems a man had once laid
a curse on Tel Village and then disappeared.
It's possible his grudge is influencing things somehow.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,8,Christoph
0,,"強く影響が出ているとすれば、男が最後に消えた
旧墓地が怪しいと踏んだが、どうもここでは
ないらしい
となるとハイデル教会の地下霊廟――","If the influence is strong, I suspected the old graveyard
where the man vanished would be the source,
but it doesn't seem to be here.
Which leaves the underground catacombs of the Hidell church—",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,9,Christoph
0,,"だが、あそこは少々私の手に余る
そこで君に調査を頼みたいんだ
瘴気による異変が起こっていないか","However, that place is a bit beyond my capabilities.
So I'd like to ask you to investigate it.
See whether any anomalies caused by the miasma have occurred.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,10,Christoph
0,,"中はどうなっているか解らない
強い呪いは魔物を引き寄せるというし
くれぐれも、準備を怠らないようにね","I don't know what conditions are like inside.
Strong curses are said to attract monsters,
so be sure not to neglect your preparations.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,11,Christoph
0,,"おや？　見るからに腕が立ちそうな君――
頼みがあるんだが聞いてくれないかな","Oh? You look skilled at a glance—
would you hear me out on a request?",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,12,Christoph
0,,"私はレスタニア各地の異変について研究して
いるんだが、現在ハイデル南部は異様に
瘴気が溜まった状態になっていてね――","I study unusual phenomena across Lestania,
and right now, southern Hidell has an abnormal
concentration of miasma there—",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,13,Christoph
0,,"調べてみると、以前テル村を呪って失踪した
男がいたらしい
その恨みが何らかの形で影響しているとも
考えられる","Upon investigating, it seems a man had once laid
a curse on Tel Village and then disappeared.
It's possible his grudge is influencing things somehow.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,14,Christoph
0,,"強く影響が出ているとすれば、男が最後に消えた
旧墓地が怪しいと踏んだが、どうもここでは
ないらしい
となるとハイデル教会の地下霊廟――","If the influence is strong, I suspected the old graveyard
where the man vanished would be the source,
but it doesn't seem to be here.
Which leaves the underground catacombs of the Hidell church—",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,15,Christoph
0,,"だが、あそこはさすがに私の手に余る
そこで君に調査を頼みたいんだ
瘴気による異変が起こっていないか","However, that place is truly beyond my abilities.
So I'd like to ask you to investigate it.
See whether any anomalies caused by the miasma have occurred.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,16,Christoph
0,,"ハイデル廃教会は、邪教の礼拝堂
が隠されていたとも言われるいわくつきだ
実際どうかは知らないが、それが本当なら
どんな恐ろしい魔物がいても不思議じゃない","The abandoned Hidell church is said to be infamous—
rumored to have concealed a heretical chapel.
I don't know if it's true, but if it is,
it wouldn't be surprising to find terrifying monsters there.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,17,Christoph
0,,"十分注意して、調査にあたってくれ
取り返しの付かない事になる前に","Proceed with great caution as you investigate,
before it becomes irreversible.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,18,Christoph
0,,"――そうか、そんな魔物がいたとは
おそらく瘴気に引き寄せられたんだろう","I see… so such a monster was there.
It was probably drawn in by the miasma.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,19,Christoph
0,,"だが、退治してくれたならこれでしばらくは
大丈夫だな","But since you dealt with it,
things should be fine for a while.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,20,Christoph
0,,"君に頼んで良かったよ！
ありがとう","I'm glad I asked you!
Thank you.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,21,Christoph
0,,"――おお、そんな魔物まで現れていたのか
おそらく瘴気に引き寄せられたんだろう
恐ろしいな、呪いの力は","Oh… so even such a monster had appeared.
It was likely drawn in by the miasma.
The power of curses is truly frightening.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,22,Christoph
0,,"しかし、さすがだ！
そんな魔物を退治してくれるとは
これでまた当分大丈夫だな","Still, impressive!
To think you'd defeat such a monster—
this should keep things safe for quite some time.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,23,Christoph
0,,"君に頼んで良かったよ！
ありがとう","I'm glad I asked you!
Thank you.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,24,Christoph
0,,"――なんと！　そんな魔物がいたのか！？
もし村が襲われていたら大惨事になるところだ
危ないところだった","What!? A monster like that was there!?
If it had attacked the village, it would've been a catastrophe.
That was a close call.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,25,Christoph
0,,"しかし、素晴らしいな君は！
それほどの魔物まで退治してしまうとは
感銘を受けたよ","Still, you're remarkable!
To defeat a monster of that caliber—
I'm deeply impressed.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,26,Christoph
0,,"君のような覚者が守ってくれるから
未然に防がれている危機は多いんだろう
本当に感謝するよ","Because Arisen like you protect us,
many crises are likely prevented before they happen.
You have my deepest thanks.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,27,Christoph
0,,"――取り返しのつかない事態が
起こってなければいいんだが","I just hope nothing irreversible
has already happened.",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,28,Christoph
0,,"こういう異変がこのところ目立つのも
白竜の力が弱まったせいなのかな――","Perhaps the reason such disturbances have become so frequent
is because the White Dragon's power is weakening—",ui\00_message\quest\q20000006.gmd,\quest\q20000006.arc,q20000006.arc,29,Christoph
0,,"まったく――踏んだり蹴ったりだよ！
ただでさえぎりぎりやってるってのに
何かに店の倉庫を荒らされちまったんだよ！","Honestly—it's one thing after another!
We're barely scraping by as it is,
and something's gone and ransacked my shop's storeroom!",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,0,Eterna
0,,"許せない、二度と来ないよう
こらしめて頂戴！
後でお礼はするからさ","I won't stand for it—
teach them a lesson so they never come back!
I'll make it worth your while afterward.",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,1,Eterna
0,,"あいつら、夜に限って来るんだよ！
ああ、お陰で不安で眠れないし
いまいましいったらないね！","They only ever come at night!
Because of them, I'm too anxious to sleep—
it's infuriating!",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,2,Eterna
0,,"まったく――踏んだり蹴ったりだよ！
ただでさえぎりぎりやってるってのに
何かに店の倉庫を荒らされちまったんだよ！","Honestly—it's one thing after another!
We're barely scraping by as it is,
and something's gone and ransacked my shop's storeroom!",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,3,Eterna
0,,"しかも、荒っぽそうな連中でさ
また来たらと思うと怖くてねぇ――
頼む、何とかしとくれ
後でお礼はするからさ","And they seem like a rough bunch.
Just thinking about them coming back scares me—
please, do something about it.
I'll reward you afterward.",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,4,Eterna
0,,"それにあいつら、夜に限って来るんだよ！
ああ、お陰で不安で眠れないし
嫌になっちまう","And they only ever come at night!
I'm so worried I can't sleep,
it's driving me mad.",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,5,Eterna
0,,"まったく――踏んだり蹴ったりだよ！
ただでさえぎりぎりやってるってのに
何かに店の倉庫を荒らされちまったんだよ！","Honestly—it's one thing after another!
We're barely scraping by as it is,
and something's gone and ransacked my shop's storeroom!",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,6,Eterna
0,,"ずいぶん図体もでかくて――
見るからにおっかなそうな影だったんだ！
心配でたまらないよ、何とかしとくれ
後でお礼はするからさ","They were huge, too—
just looking at the shadows was terrifying!
I'm worried sick, please do something.
I'll reward you afterward.",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,7,Eterna
0,,"それにあいつら、夜に限って来るんだよ！
もう、殺されちまうんじゃないかと思って
寝るどころじゃないよ――
泣きたくなっちまう","And they only ever come at night!
I keep thinking I might get killed—
sleep's the last thing on my mind.
I feel like crying.",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,8,Eterna
0,,"もう大丈夫かい？
戻ってきたりしないだろうね？","Is it really all right now?
They won't come back, will they?",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,9,Eterna
0,,"まぁいいわ、その時はまた頼む
ことにするよ","Well, if they do,
I'll ask you again.",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,10,Eterna
0,,もうないことを祈るけどね,I sure hope it doesn't come to that.,ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,11,Eterna
0,,"もう大丈夫かい？
戻ってきたりしないだろうね？","Is it really all right now?
They won't come back, will they?",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,12,Eterna
0,,"まぁいいわ、その時はまた頼む
ことにするよ","Well, if they do,
I'll ask you again.",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,13,Eterna
0,,"それにしても、おっかないよ
村どころかウチにそんなのが入ったなんてさ","Still, it's terrifying.
To think something like that got into my place,
not just the village…",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,14,Eterna
0,,"もう大丈夫かい？
戻ってきたりしないだろうね？","Is it really all right now?
They won't come back, will they?",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,15,Eterna
0,,"まぁいいわ、その時はまた頼む
ことにするよ","Well, if they do,
I'll ask you again.",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,16,Eterna
0,,"しかし、そんなヤツが入り込んでた
なんてねぇ
はち合ってたらと思うとゾッとするよ","Still, to think something like that had gotten in…
Just imagining running into it makes my blood run cold.",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,17,Eterna
0,,"油売ってるなら、他の人に頼むよ
ちゃんとやってくれるんだろうね？","If you're just wasting time, I'll ask someone else.
You will handle it properly, won't you?",ui\00_message\quest\q20000007.gmd,\quest\q20000007.arc,q20000007.arc,18,Eterna
0,,"ああっ、丁度いいところに
お前も覚者だな！？
急な任務だ、手伝ってくれ！","Ah! Just in time—
you're an Arisen too, right!?
It's an urgent mission—help us!",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,0,Arisen Corps Regimental Soldier
0,,"グリッテン砦の南にオークの小隊が
入り込んだ
どうやら偵察部隊らしい","An orc squad has slipped in
south of Gritten Fortress.
It appears to be a scouting unit.",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,1,Arisen Corps Regimental Soldier
0,,"何としても全て仕留めなければ
手分けしてくれ！","We must take them all out, no matter what.
Split up and move!",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,2,Arisen Corps Regimental Soldier
0,,"ああっ、丁度いいところに
お前も覚者だな！？
緊急任務だ、手伝ってくれ！","Ah! Just in time—
you're an Arisen too!?
It's an urgent mission—help us!",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,3,Arisen Corps Regimental Soldier
0,,"グリッテン砦の南にオークの小隊が
入り込んだんだが、目撃情報によると
厄介な斥候部隊のようだ","An orc squad has slipped in
south of Gritten Fortress, and according to reports,
they seem to be a troublesome scouting unit.",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,4,Arisen Corps Regimental Soldier
0,,"妙な事になる前に全て仕留めなければ
手分けしてくれ！","We must eliminate them all
before things take a turn for the worse.
Split up and move!",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,5,Arisen Corps Regimental Soldier
0,,"ああああっ、丁度いいところに！
お前も覚者だな！？　て、手伝ってくれ！！
大変なことになった！","A-ahhh! Just in time!
You're an Arisen too, right!? P-please help!!
This is serious!",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,6,Arisen Corps Regimental Soldier
0,,"グリッテン砦の南にオークの小隊が
入り込んだんだが、よりによって
特に危険な尖兵部隊らしいんだ","An orc squad has slipped in
south of Gritten Fortress, and of all things,
it seems to be an especially dangerous vanguard unit.",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,7,Arisen Corps Regimental Soldier
0,,"並みの騎士団や戦士じゃおそらく
歯が立たないだろう
テルや神殿に入られたらどうなることか――","A regular Knight Order or ordinary warriors
would probably stand no chance.
If they get into Tel or the temple, who knows what will happen—",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,8,Arisen Corps Regimental Soldier
0,,"頼む、手伝ってくれ！
大きな被害が出る前に奴らを止めないと","Please, help us!
We have to stop them before there's major damage.",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,9,Arisen Corps Regimental Soldier
0,,"おお、全て仕留めたんだな！
よかった――何のためのグリッテン砦だと
責められる所だった","Oh, you took them all down!
Thank goodness—we were about to be blamed,
asked what Gritten Fortress was even for.",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,10,Arisen Corps Regimental Soldier
0,,協力感謝する！,Thanks for your cooperation!,ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,11,Arisen Corps Regimental Soldier
0,,"おお、全て仕留めたのか！？
よかった――あんな奴らの侵入を許せば
グリッテン砦の責任問題だ","Oh, you eliminated them all!?
Thank goodness—if we'd allowed invaders like that in,
it would've been a serious matter of responsibility for Gritten Fortress.",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,12,Arisen Corps Regimental Soldier
0,,協力感謝する！,Thanks for your cooperation!,ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,13,Arisen Corps Regimental Soldier
0,,"何っ！　全て仕留めたというのか、あの部隊を！？
それはすごい、大したものじゃないか！","What! You wiped out that entire unit!?
That's incredible—truly impressive!",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,14,Arisen Corps Regimental Soldier
0,,"いやぁ、砦よりこちらの守りは
お前がいれば心配ないな！","Honestly, with you here,
this side is safer than the fortress itself!",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,15,Arisen Corps Regimental Soldier
0,,"本当に感謝する
一時はどうなることかと思ったよ――","You have my sincere thanks.
For a moment, I didn't know what would happen—",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,16,Arisen Corps Regimental Soldier
0,,"おい、何をしている！
早く行くんだ","Hey, what are you doing!?
Get moving, now!",ui\00_message\quest\q20000008.gmd,\quest\q20000008.arc,q20000008.arc,17,Arisen Corps Regimental Soldier
